iter	Passed	Remaining
414	1558	2196
415	1560	2190
416	1561	2182
417	1562	2175
418	1563	2167
419	1564	2160
420	1565	2153
421	1570	2150
422	1572	2144
423	1573	2137
424	1574	2130
425	1575	2123
426	1576	2115
427	1577	2108
428	1578	2101
429	1580	2095
430	1583	2089
431	1587	2086
432	1588	2079
433	1594	2079
434	1596	2073
435	1604	2075
436	1605	2068
437	1607	2062
438	1608	2055
439	1610	2049
440	1611	2042
441	1616	2040
442	1618	2034
443	1619	2028
444	1620	2021
445	1621	2014
446	1622	2007
447	1624	2001
448	1626	1995
449	1633	1996
450	1635	1990
451	1636	1983
452	1637	1977
453	1638	1970
454	1639	1963
455	1641	1958
456	1648	1959
457	1650	1952
458	1651	1946
459	1653	1940
460	1655	1935
461	1656	1928
462	1664	1931
463	1666	1924
464	1667	1918
465	1668	1912
466	1670	1906
467	1671	1900
468	1678	1900
469	1680	1895
470	1681	1888
471	1683	1883
472	1685	1878
473	1687	1872
474	1690	1868
475	1691	1862
476	1693	1856
477	1694	1850
478	1696	1845
479	1706	1848
480	1707	1842
481	1710	1837
482	1712	1832
483	1716	1829
484	1720	1827
485	1722	1821
486	1723	1815
487	1725	1809
488	1727	1805
489	1735	1806
490	1737	1800
491	1738	1795
492	1740	1790
493	1742	1784
494	1750	1785
495	1752	1780
496	1753	1774
497	1754	1768
498	1757	1764
499	1764	1764
500	1765	1758
501	1767	1753
502	1768	1747
503	1770	1742
504	1772	1737
505	1781	1739
506	1783	1734
507	1784	1728
508	1787	1724
509	1796	1726
510	1798	1720
511	1799	1715
512	1801	1710
513	1803	1705
514	1811	1706
515	1813	1701
516	1814	1695
517	1816	1690
518	1818	1685
519	1825	1684
520	1827	1680
521	1828	1674
522	1830	1669
523	1831	1663
524	1833	1659
525	1840	1658
526	1844	1655
527	1845	1650
528	1847	1644
529	1849	1640
530	1853	1637
531	1855	1631
532	1856	1626
533	1859	1622
534	1864	1620
535	1868	1617
536	1870	1612
537	1871	1606
538	1872	1601
539	1875	1597
540	1882	1597
541	1883	1591
542	1884	1586
543	1886	1581
544	1887	1575
545	1891	1573
546	1899	1572
547	1900	1567
548	1902	1562
549	1903	1557
550	1910	1557
551	1912	1552
552	1913	1546
553	1915	1541
554	1916	1536
555	1924	1536
556	1926	1532
557	1928	1527
558	1929	1522
559	1931	1517
560	1933	1512
561	1942	1513
562	1944	1509
563	1957	1513
564	1960	1509
565	1961	1504
566	1962	1499
567	1964	1494
568	1971	1493
569	1975	1489
570	1976	1484
571	1978	1480
572	1980	1475
573	1987	1474
574	1989	1470
575	1991	1465
576	1992	1460
577	1994	1456
578	2003	1456
579	2004	1451
580	2006	1446
581	2007	1441
582	2008	1436
583	2010	1432
584	2016	1430
585	2018	1426
586	2020	1421
587	2021	1416
588	2022	1411
589	2024	1406
590	2025	1401
591	2032	1400
592	2033	1395
593	2034	1390
594	2035	1385
595	2036	1380
596	2037	1375
597	2039	1370
598	2040	1365
599	2046	1364
600	2048	1359
601	2049	1354
602	2050	1349
603	2051	1345
604	2052	1340
605	2054	1335
606	2055	1330
607	2062	1329
608	2063	1325
609	2065	1320
610	2066	1315
611	2067	1310
612	2068	1305
613	2069	1301
614	2071	1296
615	2076	1294
616	2078	1290
617	2079	1285
618	2080	1280
619	2081	1275
620	2082	1271
621	2083	1266
622	2085	1261
623	2086	1257
624	2089	1253
625	2090	1249
626	2091	1244
627	2092	1239
628	2094	1235
629	2095	1230
630	2097	1226
631	2103	1224
632	2104	1220
633	2105	1215
634	2106	1211
635	2107	1206
636	2108	1201
637	2110	1197
